Timestamp,CPU_Usage_%,RAM_Usage_%,Wifi_TX_Mbps,Wifi_RX_Mbps
2025-12-31 20:18:47.920,0.3,7.8,0.09,0.05
2025-12-31 20:18:48.921,0.5,7.8,0.10,0.05
2025-12-31 20:18:49.922,0.2,7.8,0.10,0.05
2025-12-31 20:18:50.923,0.4,7.8,0.10,0.05
2025-12-31 20:18:51.924,0.5,7.8,0.09,0.05
2025-12-31 20:18:52.925,0.2,7.8,0.10,0.05
2025-12-31 20:18:53.927,0.1,7.8,0.09,0.05
2025-12-31 20:18:54.929,0.2,7.8,0.10,0.05
2025-12-31 20:18:55.931,0.2,7.8,0.09,0.05
2025-12-31 20:18:56.932,0.1,7.8,0.10,0.05
2025-12-31 20:18:57.933,0.2,7.8,0.10,0.05
2025-12-31 20:18:58.935,0.2,7.8,0.09,0.05
2025-12-31 20:18:59.936,0.2,7.8,0.10,0.05
2025-12-31 20:19:00.938,0.2,7.8,0.09,0.05
2025-12-31 20:19:01.940,0.2,7.8,0.10,0.05
2025-12-31 20:19:02.941,0.2,7.8,0.10,0.05
2025-12-31 20:19:03.943,0.2,7.8,0.10,0.05
2025-12-31 20:19:04.944,0.2,7.8,0.10,0.05
2025-12-31 20:19:05.946,0.2,7.8,0.10,0.05
2025-12-31 20:19:06.947,0.1,7.8,0.10,0.05
2025-12-31 20:19:07.949,0.1,7.8,0.10,0.05
2025-12-31 20:19:08.951,0.0,7.8,0.10,0.05
2025-12-31 20:19:09.952,0.0,7.8,0.10,0.05
2025-12-31 20:19:10.954,0.1,7.8,0.10,0.05
2025-12-31 20:19:11.956,0.0,7.8,0.09,0.05
2025-12-31 20:19:12.957,0.1,7.8,0.10,0.05
2025-12-31 20:19:13.959,0.0,7.8,0.09,0.05
2025-12-31 20:19:14.960,0.2,7.8,0.09,0.05
2025-12-31 20:19:15.962,0.2,7.8,0.09,0.05
2025-12-31 20:19:16.963,0.1,7.8,0.09,0.05
2025-12-31 20:19:17.965,0.1,7.8,0.09,0.05
2025-12-31 20:19:18.967,0.1,7.8,0.09,0.05
2025-12-31 20:19:19.968,0.2,7.8,0.10,0.05
2025-12-31 20:19:20.970,0.1,7.8,0.09,0.05
2025-12-31 20:19:21.971,0.1,7.8,0.10,0.05
2025-12-31 20:19:22.973,0.1,7.8,0.10,0.05
2025-12-31 20:19:23.974,0.0,7.8,0.09,0.05
2025-12-31 20:19:24.975,0.0,7.8,0.10,0.05
2025-12-31 20:19:25.977,0.1,7.8,0.09,0.05
2025-12-31 20:19:26.978,0.1,7.8,0.09,0.05
2025-12-31 20:19:27.981,0.1,7.8,0.10,0.05
2025-12-31 20:19:28.982,0.0,7.8,0.10,0.05
2025-12-31 20:19:29.983,0.0,7.8,0.10,0.05
2025-12-31 20:19:30.984,0.1,7.8,0.09,0.05
2025-12-31 20:19:31.985,0.1,7.8,0.09,0.05
2025-12-31 20:19:32.986,0.0,7.8,0.10,0.05
2025-12-31 20:19:33.988,0.0,7.8,0.09,0.05
2025-12-31 20:19:34.989,0.1,7.8,0.10,0.05
2025-12-31 20:19:35.991,0.0,7.8,0.10,0.05
2025-12-31 20:19:36.992,0.0,7.8,0.09,0.05
2025-12-31 20:19:37.993,0.1,7.8,0.09,0.05
2025-12-31 20:19:38.995,0.0,7.8,0.10,0.05
2025-12-31 20:19:39.996,0.1,7.8,0.09,0.05
2025-12-31 20:19:40.998,0.1,7.8,0.10,0.05
2025-12-31 20:19:41.999,0.0,7.8,0.10,0.05
2025-12-31 20:19:43.001,0.1,7.8,0.10,0.05
2025-12-31 20:19:44.002,0.2,7.8,0.10,0.05
2025-12-31 20:19:45.004,0.0,7.8,0.09,0.05
2025-12-31 20:19:46.005,0.1,7.8,0.10,0.05
